"ID_EXP","ID_ORIGINAL","Date","Ope","Sex","DOB","Group","Diet","Trt","Mass","Hpoly"
1,"P58/L2","20/03/2017","ARS","F","04/09/2016","Exp","Trans","Trt",19,11
3,"P58/L2","20/03/2017","ARS","F","04/09/2016","Exp","RM1","Trt",19,20
4,"P59/L4","20/03/2017","ARS","F","08/09/2016","Exp","Trans","Ctrl",18,1
5,"P52/L3","20/03/2017","ARS","F","29/09/2016","Exp","Trans","Trt",19,6
6,"P52/L3","20/03/2017","ARS","F","29/09/2016","Exp","RM1","Ctrl",19,57
7,"P52/L3","20/03/2017","ARS","F","29/09/2016","Exp","Trans","Ctrl",17,1
8,"P52/L3","20/03/2017","ARS","F","29/09/2016","Exp","RM1","Trt",17,20
11,"P56/L5","20/03/2017","ARS","M","18/08/2016","Exp","Trans","Trt",23,12
12,"P56/L5","20/03/2017","ARS","M","18/08/2016","Exp","RM1","Ctrl",24.75,21
13,"P58/L2","20/03/2017","ARS","M","04/09/2016","Exp","Trans","Ctrl",35.5,13
14,"P58/L2","20/03/2017","ARS","M","04/09/2016","Exp","RM1","Trt",26,15
15,"P58/L2","20/03/2017","ARS","M","04/09/2016","Exp","Trans","Trt",28,3
16,"P59/L4","20/03/2017","ARS","M","08/09/2016","Exp","RM1","Ctrl",25,37
17,"P58/L1","20/03/2017","ARS","M","25/07/2016","Ctrl","Trans","Ctrl",24,22
18,"P58/L1","20/03/2017","ARS","M","25/07/2016","Ctrl","RM1","Ctrl",23,14
19,"P58/L4","20/03/2017","ARS","M","22/10/2016","Ctrl","Trans","Ctrl",20.75,9
21,"P54/L1","20/03/2017","ARS","F","30/05/2016","Ctrl","Trans","Ctrl",18.25,6
22,"P56/L2","20/03/2017","ARS","F","07/07/2016","Ctrl","RM1","Ctrl",16.25,3
24,"P58/L4","20/03/2017","ARS","F","22/10/2016","Ctrl","RM1","Ctrl",17.25,12
